2-10;[13,3,4];[2,3,4,5,6,13,14,9,10];198.0;[3.0,4.0,13.0];47;32;[1.0,5.0,8.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00018405914306640625
1-9;[0,11,5];[1,0,11,13,6,5,6,14,9];200.0;[0.0,11.0,5.0];30;14;[2.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002799034118652344
0-8;[4,10,9];[0,1,2,3,4,5,6,14,9,10,9,8];234.0;[4.0,10.0,9.0];45;24;[1.0,7.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002613067626953125
2-7;[14,8,3];[2,3,4,5,6,14,9,8,7];162.0;[3.0,14.0,8.0];63;44;[0.0,7.0,8.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00024366378784179688
3-8;[6,4,10];[3,4,5,6,14,9,10,9,8];178.0;[4.0,6.0,10.0];47;28;[1.0,6.0,6.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0009300708770751953
2-9;[12,4,7];[2,3,12,3,4,5,6,7,8,9];190.0;[12.0,4.0,7.0];30;14;[2.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002193450927734375
0-7;[5,8,13];[0,11,13,6,5,6,14,9,8,7];209.0;[13.0,5.0,8.0];54;29;[1.0,6.0,4.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00019025802612304688
3-10;[5,7,14];[3,4,5,6,14,6,7,8,9,10];208.0;[5.0,14.0,7.0];46;15;[2.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00026607513427734375
8-12;[9,13,3];[8,9,14,13,12,3,12];142.0;[9.0,13.0,3.0];31;16;[2.0,5.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023865699768066406
1-14;[5,10,6];[1,2,3,4,5,6,14,9,10,9,14];207.0;[5.0,6.0,10.0];52;26;[1.0,6.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.000102996826171875
0-9;[10,8,5];[0,1,2,3,4,5,6,14,9,10,9,8,9];251.0;[5.0,10.0,8.0];66;39;[0.0,8.0,6.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00023698806762695312
8-11;[1,3,10];[8,9,10,11,0,1,2,3,12,11];256.0;[10.0,1.0,3.0];69;44;[0.0,7.0,6.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00047969818115234375
0-10;[6,4,1];[0,1,2,3,4,5,6,14,9,10];190.0;[1.0,4.0,6.0];59;45;[0.0,6.0,12.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];6.365776062011719e-05
3-7;[9,12,5];[3,12,3,4,5,6,14,9,8,7];171.0;[12.0,5.0,9.0];56;35;[1.0,5.0,5.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.000179290771484375
3-9;[11,14,2];[3,2,3,12,11,13,14,9];173.0;[2.0,11.0,14.0];45;31;[0.0,10.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00027060508728027344
