1-5;[9,7,12];[1,2,3,12,13,14,9,8,7,6,5];232.0;[12.0,9.0,7.0];19;18;[2.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];6.771087646484375e-05
12-14;[6,4,7];[12,3,4,5,6,7,6,14];177.0;[4.0,6.0,7.0];34;29;[1.0,5.0,13.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003380775451660156
5-10;[0,9,8];[5,4,3,2,1,0,11,13,14,9,8,9,10];305.0;[0.0,9.0,8.0];48;46;[0.0,8.0,6.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002613067626953125
5-11;[14,1,12];[5,6,14,6,5,4,3,2,1,2,3,12,11];220.0;[14.0,1.0,12.0];28;35;[0.0,10.0,9.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];9.489059448242188e-05
11-14;[1,10,0];[11,0,1,0,11,10,9,14];255.0;[0.0,1.0,10.0];25;30;[0.0,11.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003819465637207031
8-13;[2,4,14];[8,9,14,6,5,4,3,2,3,12,13];212.0;[14.0,4.0,2.0];19;20;[2.0,5.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002636909484863281
1-8;[0,3,4];[1,0,1,2,3,4,5,6,14,9,8];209.0;[0.0,3.0,4.0];16;28;[0.0,11.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.000331878662109375
2-8;[0,5,7];[2,1,0,1,2,3,4,5,6,7,8];225.0;[0.0,5.0,7.0];13;19;[1.0,10.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003247261047363281
1-10;[4,14,5];[1,2,3,4,5,6,14,9,10];161.0;[4.0,5.0,14.0];10;9;[3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00013780593872070312
1-7;[9,2,8];[1,2,3,4,5,6,14,9,8,7];172.0;[2.0,9.0,8.0];9;13;[2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002875328063964844
2-10;[13,3,4];[2,3,4,5,6,13,14,9,10];198.0;[3.0,4.0,13.0];12;18;[2.0,5.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];8.654594421386719e-05
1-9;[0,11,5];[1,0,11,13,6,5,6,14,9];200.0;[0.0,11.0,5.0];8;14;[2.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.000308990478515625
0-8;[4,10,9];[0,1,2,3,4,5,6,14,9,10,9,8];234.0;[4.0,9.0,10.0];27;19;[1.0,9.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00028395652770996094
2-7;[14,8,3];[2,3,4,5,6,14,9,8,7];162.0;[3.0,14.0,8.0];9;13;[2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00016355514526367188
3-8;[6,4,10];[3,4,5,6,14,9,10,9,8];178.0;[4.0,6.0,10.0];11;15;[2.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00026416778564453125
2-9;[12,4,7];[2,3,12,3,4,5,6,7,8,9];190.0;[12.0,4.0,7.0];8;14;[2.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0001819133758544922
0-7;[5,8,13];[0,11,13,6,5,6,14,9,8,7];209.0;[13.0,5.0,8.0];18;13;[2.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00016736984252929688
3-10;[5,7,14];[3,4,5,6,14,6,7,8,9,10];208.0;[5.0,14.0,7.0];24;17;[2.0,5.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00026416778564453125
